CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
1745-81-9,1.028,100,DCM,400,80/20,10,2024-12-01_17-49-07.xlsx,CN,535,1006,C=CCC1=CC=CC=C1O,535,1006
1745-81-9,1.028,100,DCM,400,70/30,10,2024-12-01_17-52-44.xlsx,CN,541,1144,C=CCC1=CC=CC=C1O,541,1144
1745-81-9,1.028,100,DCM,400,60/40,10,2024-12-01_17-56-16.xlsx,CN,554,1078,C=CCC1=CC=CC=C1O,554,1078
1745-81-9,1.028,100,DCM,400,50/50,10,2024-12-01_18-00-43.xlsx,CN,612,1641,C=CCC1=CC=CC=C1O,612,1641
51934-41-9,1.641,100,DCM,400,90/10,10,2024-12-01_18-17-48.xlsx,CN,312,2219,CCOC(=O)C1=CC=C(C=C1)I,312,2219
51934-41-9,1.641,100,DCM,400,80/20,10,2024-12-01_18-23-01.xlsx,CN,512,2081,CCOC(=O)C1=CC=C(C=C1)I,512,2081
51934-41-9,1.641,100,DCM,400,70/30,10,2024-12-01_18-31-59.xlsx,CN,523,4311,CCOC(=O)C1=CC=C(C=C1)I,523,4311
51934-41-9,1.641,100,DCM,400,60/40,10,2024-12-01_18-51-56.xlsx,CN,539,10874,CCOC(=O)C1=CC=C(C=C1)I,539,10874
105-13-5,1.113,100,DCM,400,90/10,10,2024-12-01_19-00-33.xlsx,CN,522,1141,COC1=CC=C(C=C1)CO,522,1141
105-13-5,1.113,100,DCM,400,80/20,10,2024-12-01_19-03-49.xlsx,CN,535,944,COC1=CC=C(C=C1)CO,535,944
105-13-5,1.113,100,DCM,400,70/30,10,2024-12-01_19-07-26.xlsx,CN,532,1114,COC1=CC=C(C=C1)CO,532,1114
105-13-5,1.113,100,DCM,400,60/40,10,2024-12-01_19-11-08.xlsx,CN,540,1178,COC1=CC=C(C=C1)CO,540,1178
105-13-5,1.113,100,DCM,400,50/50,10,2024-12-01_19-14-40.xlsx,CN,576,1089,COC1=CC=C(C=C1)CO,576,1089
577-16-2,1.026,100,DCM,400,90/10,10,2024-12-01_19-24-17.xlsx,CN,334,1308,CC1=CC=CC=C1C(=O)C,334,1308
577-16-2,1.026,100,DCM,400,80/20,10,2024-12-01_19-28-09.xlsx,CN,524,1275,CC1=CC=CC=C1C(=O)C,524,1275
577-16-2,1.026,100,DCM,400,70/30,10,2024-12-01_19-32-46.xlsx,CN,528,1726,CC1=CC=CC=C1C(=O)C,528,1726
577-16-2,1.026,100,DCM,400,60/40,10,2024-12-01_19-37-48.xlsx,CN,548,1956,CC1=CC=CC=C1C(=O)C,548,1956
577-16-2,1.026,100,DCM,400,50/50,10,2024-12-01_19-45-21.xlsx,CN,569,3452,CC1=CC=CC=C1C(=O)C,569,3452
123-11-5,1.121,100,DCM,400,90/10,10,2024-12-01_19-52-30.xlsx,CN,282,1249,COC1=CC=C(C=C1)C=O,282,1249
123-11-5,1.121,100,DCM,400,80/20,10,2024-12-01_19-56-28.xlsx,CN,521,1346,COC1=CC=C(C=C1)C=O,521,1346
123-11-5,1.121,100,DCM,400,70/30,10,2024-12-01_20-01-07.xlsx,CN,525,1745,COC1=CC=C(C=C1)C=O,525,1745
123-11-5,1.121,100,DCM,400,60/40,10,2024-12-01_20-05-46.xlsx,CN,539,1701,COC1=CC=C(C=C1)C=O,539,1701
123-11-5,1.121,100,DCM,400,50/50,10,2024-12-01_20-12-30.xlsx,CN,569,2986,COC1=CC=C(C=C1)C=O,569,2986
1746-13-0,0.978,100,DCM,400,90/10,10,2024-12-01_20-20-49.xlsx,CN,272,975,C=CCOC1=CC=CC=C1,272,975
1746-13-0,0.978,100,DCM,400,80/20,10,2024-12-01_20-24-26.xlsx,CN,543,1104,C=CCOC1=CC=CC=C1,543,1104
1746-13-0,0.978,100,DCM,400,70/30,10,2024-12-01_20-27-53.xlsx,CN,603,1007,C=CCOC1=CC=CC=C1,603,1007
1746-13-0,0.978,100,DCM,400,60/40,10,2024-12-01_20-32-05.xlsx,CN,584,1471,C=CCOC1=CC=CC=C1,584,1471
1746-13-0,0.978,100,DCM,400,50/50,10,2024-12-01_20-38-17.xlsx,CN,627,2672,C=CCOC1=CC=CC=C1,627,2672
214360-73-3,1.05,100,DCM,400,90/10,10,2024-12-01_20-50-52.xlsx,CN,312,990,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,312,990
214360-73-3,1.05,100,DCM,400,80/20,10,2024-12-01_20-54-09.xlsx,CN,527,943,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,527,943
214360-73-3,1.05,100,DCM,400,70/30,10,2024-12-01_20-57-50.xlsx,CN,538,1158,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,538,1158
