582-33-2,Ethyl 3-aminobenzoate,CCOC(=O)C1=CC(=CC=C1)N,535-11-5,Ethyl 2-bromopropionate,CCOC(=O)C(C)Br,1694-31-1,tert-Butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C,600-00-0,Ethyl 2-bromoisobutyrate,CCOC(=O)C(C)(C)Br,134-20-3,Methyl anthranilate,COC(=O)C1=CC=CC=C1N,637-59-2,1-Bromo-3-phenylpropane,C1=CC=C(C=C1)CCCBr,105-13-5,4-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO,98-80-6,Phenylboronic acid,B(C1=CC=CC=C1)(O)O
141-97-9,Ethyl acetoacetate,CCOC(=O)CC(=O)C,94-02-0,Ethyl benzoylacetate,CCOC(=O)CC(=O)C1=CC=CC=C1,7318-00-5,ETHYL 3-AMINOBUT-2-ENOATE,CCOC(=O)/C=C(/C)\N,637-59-2,1-Bromo-3-phenylpropane,C1=CC=C(C=C1)CCCBr,455-67-4,3-Fluoropropiophenone,CCC(=O)C1=CC(=CC=C1)F,122-97-4,3-Phenyl-1-propanol,C1=CC=C(C=C1)CCCO,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,123-08-0,4-Hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O
95-13-6,Indene,C1C=CC2=CC=CC=C21,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,105-45-3,Methyl 3-oxobutanoate,CC(=O)CC(=O)OC,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,826-73-3,1-Benzosuberone,C1CCC(=O)C2=CC=CC=C2C1,26537-19-9,Methyl 4-tert-butylbenzoate,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,123-11-5,p-Anisaldehyde,COC1=CC=C(C=C1)C=O,99-96-7,4-Hydroxybenzoic acid,C1=CC(=CC=C1C(=O)O)O
105-53-3,Diethyl malonate,CCOC(=O)CC(=O)OCC,122-00-9,4'-Methylacetophenone,CC1=CC=C(C=C1)C(=O)C,762-42-5,Dimethyl But-2-ynedioate,COC(=O)C#CC(=O)OC,762-42-5,Dimethyl But-2-ynedioate,COC(=O)C#CC(=O)OC,3874-54-2,4-Chloro-4'-fluorobutyrophenone,C1=CC(=CC=C1C(=O)CCCCl)F,624-48-6,Dimethyl maleate,COC(=O)/C=C\C(=O)OC?,1746-13-0,Allyl phenyl ether,C=CCOC1=CC=CC=C1,937-14-4,3-Chloroperoxybenzoic acid,C1=CC(=CC(=C1)Cl)C(=O)OO
685-87-0,DIETHYL BROMOMALONATE,CCOC(=O)C(C(=O)OCC)Br,119-36-8,Methyl salicylate,COC(=O)C1=CC=CC=C1O,134-20-3,Methyl anthranilate,COC(=O)C1=CC=CC=C1N,535-11-5,Ethyl 2-bromopropionate,CCOC(=O)C(C)Br,1570-48-5,3-PROPIONYLPYRIDINE,CCC(=O)C1=CN=CC=C1,626-34-6,ETHYL 3-AMINOCROTONATE,CCOC(=O)/C=C(/C)\N,214360-73-3,4-Aminophenylboronic acid pinacol ester,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N,100-50-5,3-Cyclohexene-1-carboxaldehyde,C1CC(CC=C1)C=O
7318-00-5,ETHYL 3-AMINOBUT-2-ENOATE,CCOC(=O)/C=C(/C)\N,1694-31-1,tert-Butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C,122-00-9,4'-Methylacetophenone,CC1=CC=C(C=C1)C(=O)C,7318-00-5,ETHYL 3-AMINOBUT-2-ENOATE,CCOC(=O)/C=C(/C)\N,3770-82-9,"1,3-DIBENZOYLBENZENE",C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)C(=O)C3=CC=CC=C3,15486-19-8,4-ACETOXYCINNAMIC ACID,CC(=O)OC1=CC=C(C=C1)/C=C/C(=O)O,591-50-4,Iodobenzene,C1=CC=C(C=C1)I,84-58-2,"2,3-Dichloro-5,6-dicyano-1,4-benzoquinone",C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N
1694-31-1,tert-Butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C,101-97-3,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1,98-86-2,Acetophenone,CC(=O)C1=CC=CC=C1,134-20-3,Methyl anthranilate,COC(=O)C1=CC=CC=C1N,13211-01-3,4-Phenylbutyrophenone,CCCC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,66-99-9,2-Naphthaldehyde,C1=CC=C2C=C(C=CC2=C1)C=O,103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1,1125-88-8,Benzaldehyde dimethyl acetal,COC(C1=CC=CC=C1)OC
600-00-0,Ethyl 2-bromoisobutyrate,CCOC(=O)C(C)(C)Br,134-20-3,Methyl anthranilate,COC(=O)C1=CC=CC=C1N,1009-14-9,Valerophenone,CCCCC(=O)C1=CC=CC=C1,101-97-3,Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1,19829-31-3,3'-Bromopropiophenone,CCC(=O)C1=CC(=CC=C1)Br,1745-81-9,2-Allylphenol,C=CCC1=CC=CC=C1O,941-98-0,1'-Acetonaphthone,CC(=O)C1=CC=CC2=CC=CC=C21,131818-17-2,TERT-BUTYL N-(4-BROMOPHENYL)-CARBAMATE,CC(C)(C)OC(=O)NC1=CC=C(C=C1)Br
626-34-6,Ethyl (2Z)-3-aminobut-2-enoate,CCOC(=O)/C=C(/C)\N,103-36-6,Ethyl (2Z)-3-aminobut-2-enoate,CCOC(=O)/C=C/C1=CC=CC=C1,577-16-2,2'-Methylacetophenone,CC1=CC=CC=C1C(=O)C,98-86-2,Acetophenone,CC(=O)C1=CC=CC=C1,3378-82-3,1-BROMO-2-NAPHTHALDEHYDE,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,1746-13-0,Allyl phenyl ether,C=CCOC1=CC=CC=C1,100-52-7,Benzaldehyde,C1=CC=C(C=C1)C=O,90-12-0,1-Methylnaphthalene,CC1=CC=CC2=CC=CC=C12
103-36-6,Ethyl cinnamate,CCOC(=O)/C=C/C1=CC=CC=C1,26537-19-9,Methyl 4-tert-butylbenzoate,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,93-89-0,Ethyl benzoate,CCOC(=O)C1=CC=CC=C1,626-34-6,Ethyl (2Z)-3-aminobut-2-enoate,CCOC(=O)/C=C(/C)\N,3218-36-8,4-Biphenylcarboxaldehyde,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,123-11-5,p-Anisaldehyde,COC1=CC=C(C=C1)C=O,92-52-4,Biphenyl,C1=CC=C(C=C1)C2=CC=CC=C2,615-13-4,2-Indanone,C1C(=O)CC2=CC=CC=C21
