CAS,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
103-36-6,1.049,100,DCM,400,90/10,10,2024-11-15_11-15-26.xlsx,C18,230,1722,CCOC(=O)/C=C/C1=CC=CC=C1,230,1722
103-36-6,1.049,100,DCM,400,80/20,10,2024-11-15_11-20-24.xlsx,C18,520,1928,CCOC(=O)/C=C/C1=CC=CC=C1,520,1928
103-36-6,1.049,100,DCM,400,70/30,10,2024-11-15_11-27-11.xlsx,C18,564,3015,CCOC(=O)/C=C/C1=CC=CC=C1,564,3015
103-36-6,1.049,100,DCM,400,60/40,10,2024-11-15_11-30-58.xlsx,C18,660,1220,CCOC(=O)/C=C/C1=CC=CC=C1,660,1220
103-36-6,1.049,100,DCM,400,50/50,10,2024-11-15_11-36-00.xlsx,C18,-1,-1,CCOC(=O)/C=C/C1=CC=CC=C1,-1,-1
65-85-0,1.08,100,MeOH,400,90/10,10,2024-11-15_12-34-25.xlsx,C18,330,878,C1=CC=C(C=C1)C(=O)O,330,878
65-85-0,1.08,100,MeOH,400,80/20,10,2024-11-15_12-37-57.xlsx,C18,519,1054,C1=CC=C(C=C1)C(=O)O,519,1054
65-85-0,1.08,100,MeOH,400,70/30,10,2024-11-15_12-41-34.xlsx,C18,510,1106,C1=CC=C(C=C1)C(=O)O,510,1106
65-85-0,1.08,100,MeOH,400,60/40,10,2024-11-15_12-45-36.xlsx,C18,508,1359,C1=CC=C(C=C1)C(=O)O,508,1359
65-85-0,1.08,100,MeOH,400,50/50,10,2024-11-15_12-50-03.xlsx,C18,535,1613,C1=CC=C(C=C1)C(=O)O,535,1613
123-31-9,1.32,100,MeOH,400,90/10,10,2024-11-15_14-52-07.xlsx,C18,473,954,C1=CC(=CC=C1O)O,473,954
123-31-9,1.32,100,MeOH,400,80/20,10,2024-11-15_15-47-42.xlsx,C18,304,623,C1=CC(=CC=C1O)O,304,623
123-31-9,1.32,100,MeOH,400,70/30,10,2024-11-15_15-50-54.xlsx,C18,488,854,C1=CC(=CC=C1O)O,488,854
123-31-9,1.32,100,MeOH,400,60/40,10,2024-11-15_15-53-50.xlsx,C18,512,719,C1=CC(=CC=C1O)O,512,719
