CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,1/1,5,2023-05-18_14-42-30,Silica-CS 4g,1200,1749,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1200,1749
120-51-4,Benzyl benzoate,0.98,1.097,100,PE,200,1/1,5,2023-05-18_14-48-26,Silica-CS 4g,1178,1762,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1178,1762
120-51-4,Benzyl benzoate,0.98,1.097,100,PE,200,1/1,10,2023-05-18_14-53-25,Silica-CS 4g,682,1004,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,682,1004
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,1/1,10,2023-05-18_14-57-26,Silica-CS 4g,681,1026,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,681,1026
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,10/1,10,2023-05-18_18-49-42,Silica-CS 4g,1522,2297,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1522,2297
83-13-6,Diethyl phenylmalonate,0.95,1.095,150,PE,200,20/1,10,2023-05-18_20-12-08,Silica-CS 4g,2519,3904,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,2519,3904
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,20/1,10,2023-05-18_20-23-28,Silica-CS 4g,2585,3910,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,2585,3910
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,1/1,5,2023-05-19_16-05-47,Silica-CS 4g,911,1416,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,911,1416
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,1/1,10,2023-05-19_16-10-51,Silica-CS 4g,635,941,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,635,941
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,1/1,10,2023-05-19_16-19-49,Silica-CS 4g,639,964,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,639,964
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,1/1,5,2023-05-19_16-37-17,Silica-CS 4g,1100,2030,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1100,2030
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,2/1,5,2023-05-19_17-00-18,Silica-CS 4g,3020,3026,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,3020,3026
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,2/1,5,2023-05-19_17-06-19,Silica-CS 4g,1127,1988,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1127,1988
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,2/1,10,2023-05-19_17-11-36,Silica-CS 4g,656,1187,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,656,1187
83-13-6,Diethyl phenylmalonate,0.95,1.095,150,PE,200,2/1,5,2023-05-19_18-44-01,Silica-CS 4g,1145,2395,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1145,2395
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,5/1,5,2023-05-19_18-51-06,Silica-CS 4g,1337,2495,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1337,2495
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,5/1,10,2023-05-19_18-57-35,Silica-CS 4g,900,1594,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,900,1594
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,5/1,10,2023-05-19_19-03-42,Silica-CS 4g,845,1578,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,845,1578
83-13-6,Diethyl phenylmalonate,0.95,1.095,150,PE,200,5/1,10,2023-05-19_19-23-29,Silica-CS 4g,854,1732,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,854,1732
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,10/1,10,2023-05-19_19-30-43,Silica-CS 4g,1468,2262,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1468,2262
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,10/1,5,2023-05-19_20-04-46,Silica-CS 4g,2903,4457,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,2903,4457
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,10/1,5,2023-05-19_19-56-12,Silica-CS 4g,1976,4413,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1976,4413
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,10/1,10,2023-05-19_20-13-24,Silica-CS 4g,1394,2339,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1394,2339
83-13-6,Diethyl phenylmalonate,0.95,1.095,150,PE,200,10/1,5,2023-05-19_20-30-47,Silica-CS 4g,1855,4685,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1855,4685
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,20/1,5,2023-05-22_11-04-52,Silica-CS 4g,4424,7323,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,4424,7323
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,20/1,10,2023-05-22_11-23-12,Silica-CS 4g,2524,3861,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,2524,3861
83-13-6,Diethyl phenylmalonate,0.95,1.095,100,PE,200,20/1,5,2023-05-22_11-37-31,Silica-CS 4g,4615,7738,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,4615,7738
83-13-6,Diethyl phenylmalonate,0.95,1.095,150,PE,200,20/1,5,2023-05-22_12-49-24,Silica-CS 4g,3802,7642,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,3802,7642
83-13-6,Diethyl phenylmalonate,0.95,1.095,150,PE,200,20/1,10,2023-05-22_10-35-45,Silica-CS 4g,2036,4189,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,2036,4189
83-13-6,Diethyl phenylmalonate,0.95,1.095,50,PE,200,50/1,5,2023-05-22_13-35-53,Silica-CS 4g,1333,2792,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,1333,2792
83-13-6,Diethyl phenylmalonate,0.95,1.095,150,PE,200,50/1,10,2023-05-22_14-48-47,Silica-CS 4g,4553,6182,CCOC(=O)C(C1=CC=CC=C1)C(=O)OCC,4553,6182
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,PE,200,1/1,10,2023-05-22_14-59-20,Silica-CS 4g,962,2468,COC(=O)C(=O)C1=CC=CC=C1,962,2468
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,1/1,10,2023-05-22_15-27-27,Silica-CS 4g,621,1441,COC(=O)C(=O)C1=CC=CC=C1,621,1441
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,1/1,5,2023-05-22_15-34-50,Silica-CS 4g,1373,2808,COC(=O)C(=O)C1=CC=CC=C1,1373,2808
15206-55-0,Methyl Benzoylformate,0.98,1.155,100,EA,200,1/1,10,2023-05-22_15-47-00,Silica-CS 4g,1229,3018,COC(=O)C(=O)C1=CC=CC=C1,1229,3018
15206-55-0,Methyl Benzoylformate,0.98,1.155,150,EA,200,1/1,10,2023-05-22_15-51-31,Silica-CS 4g,755,1167,COC(=O)C(=O)C1=CC=CC=C1,755,1167
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,2/1,5,2023-05-22_16-04-46,Silica-CS 4g,1236,3131,COC(=O)C(=O)C1=CC=CC=C1,1236,3131
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,2/1,10,2023-05-22_16-10-22,Silica-CS 4g,809,1406,COC(=O)C(=O)C1=CC=CC=C1,809,1406
15206-55-0,Methyl Benzoylformate,0.98,1.155,100,EA,200,2/1,10,2023-05-22_16-14-38,Silica-CS 4g,708,2113,COC(=O)C(=O)C1=CC=CC=C1,708,2113
15206-55-0,Methyl Benzoylformate,0.98,1.155,150,EA,200,2/1,5,2023-05-22_16-28-52,Silica-CS 4g,1389,3703,COC(=O)C(=O)C1=CC=CC=C1,1389,3703
15206-55-0,Methyl Benzoylformate,0.98,1.155,150,EA,200,2/1,10,2023-05-22_16-35-05,Silica-CS 4g,870,1505,COC(=O)C(=O)C1=CC=CC=C1,870,1505
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,5/1,10,2023-05-22_16-46-19,Silica-CS 4g,1267,2928,COC(=O)C(=O)C1=CC=CC=C1,1267,2928
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,2/1,5,2023-05-22_16-56-12,Silica-CS 4g,2018,4088,COC(=O)C(=O)C1=CC=CC=C1,2018,4088
15206-55-0,Methyl Benzoylformate,0.98,1.155,100,EA,200,2/1,5,2023-05-22_17-05-03,Silica-CS 4g,1550,4036,COC(=O)C(=O)C1=CC=CC=C1,1550,4036
15206-55-0,Methyl Benzoylformate,0.98,1.155,100,EA,200,2/1,10,2023-05-22_17-11-43,Silica-CS 4g,894,1239,COC(=O)C(=O)C1=CC=CC=C1,894,1239
15206-55-0,Methyl Benzoylformate,0.98,1.155,150,EA,200,2/1,10,2023-05-22_17-18-04,Silica-CS 4g,794,2700,COC(=O)C(=O)C1=CC=CC=C1,794,2700
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,5/1,10,2023-05-22_19-04-08,Silica-CS 4g,1033,2527,COC(=O)C(=O)C1=CC=CC=C1,1033,2527
15206-55-0,Methyl Benzoylformate,0.98,1.155,100,EA,200,5/1,10,2023-05-22_19-29-45,Silica-CS 4g,1043,2395,COC(=O)C(=O)C1=CC=CC=C1,1043,2395
15206-55-0,Methyl Benzoylformate,0.98,1.155,150,EA,200,5/1,10,2023-05-22_19-37-10,Silica-CS 4g,857,3326,COC(=O)C(=O)C1=CC=CC=C1,857,3326
15206-55-0,Methyl Benzoylformate,0.98,1.155,150,EA,200,5/1,5,2023-05-22_19-46-29,Silica-CS 4g,2022,3710,COC(=O)C(=O)C1=CC=CC=C1,2022,3710
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,10/1,5,2023-05-22_19-58-17,Silica-CS 4g,2530,5048,COC(=O)C(=O)C1=CC=CC=C1,2530,5048
15206-55-0,Methyl Benzoylformate,0.98,1.155,50,EA,200,10/1,10,2023-05-22_20-07-45,Silica-CS 4g,1234,3162,COC(=O)C(=O)C1=CC=CC=C1,1234,3162
15206-55-0,Methyl Benzoylformate,0.98,1.155,100,EA,200,10/1,10,2023-05-22_20-18-22,Silica-CS 4g,1062,3378,COC(=O)C(=O)C1=CC=CC=C1,1062,3378
