CAS,name,Purity,Density g/ml,V/ul,loading solvent,Volume of loading solvent/ul,PE/EA,Flow mL/min,Ending time,column_specs,t1,t2,smiles,verified t1,verified t2
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,40/1,10,2023-05-12_10-40-43,Silica-CS 4g,847,1848,CC(C)CCOC(=O)C1=CC=CC=C1,847,1848
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,40/1,8,2023-05-12_10-51-07,Silica-CS 4g,954,2306,CC(C)CCOC(=O)C1=CC=CC=C1,954,2306
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,40/1,6,2023-05-12_11-00-18,Silica-CS 4g,1169,2910,CC(C)CCOC(=O)C1=CC=CC=C1,1169,2910
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,30/1,10,2023-05-12_11-17-48,Silica-CS 4g,782,1776,CC(C)CCOC(=O)C1=CC=CC=C1,782,1776
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,30/1,8,2023-05-12_12-17-42,Silica-CS 4g,943,2285,CC(C)CCOC(=O)C1=CC=CC=C1,943,2285
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,30/1,6,2023-05-12_12-26-21,Silica-CS 4g,1313,3241,CC(C)CCOC(=O)C1=CC=CC=C1,1313,3241
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,20/1,10,2023-05-12_13-02-46,Silica-CS 4g,777,1581,CC(C)CCOC(=O)C1=CC=CC=C1,777,1581
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,20/1,8,2023-05-12_13-12-23,Silica-CS 4g,930,1686,CC(C)CCOC(=O)C1=CC=CC=C1,930,1686
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,20/1,6,2023-05-12_13-23-26,Silica-CS 4g,1136,2165,CC(C)CCOC(=O)C1=CC=CC=C1,1136,2165
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,20/1,4,2023-05-12_13-34-53,Silica-CS 4g,1575,3214,CC(C)CCOC(=O)C1=CC=CC=C1,1575,3214
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,10/1,8,2023-05-12_13-58-20,Silica-CS 4g,855,1407,CC(C)CCOC(=O)C1=CC=CC=C1,855,1407
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,10/1,6,2023-05-12_14-05-57,Silica-CS 4g,1061,1813,CC(C)CCOC(=O)C1=CC=CC=C1,1061,1813
94-46-2,Isopentyl benzoate,0.98,0.99,100,PE,200,10/1,4,2023-05-12_14-17-11,Silica-CS 4g,1507,2693,CC(C)CCOC(=O)C1=CC=CC=C1,1507,2693
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,100,PE,200,40/1,10,2023-05-16_10-28-17,Silica-CS 4g,420,534,CCOC(=O)C1=CC=C(C=C1)Cl,420,534
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,100,PE,200,40/1,8,2023-05-16_10-38-29,Silica-CS 4g,1124,3371,CCOC(=O)C1=CC=C(C=C1)Cl,1124,3371
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,100,PE,200,40/1,6,2023-05-16_10-47-17,Silica-CS 4g,1379,4821,CCOC(=O)C1=CC=C(C=C1)Cl,1379,4821
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,40/1,6,2023-05-16_11-02-18,Silica-CS 4g,1639,4679,CCOC(=O)C1=CC=C(C=C1)Cl,1639,4679
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,40/1,4,2023-05-16_11-14-05,Silica-CS 4g,2432,5759,CCOC(=O)C1=CC=C(C=C1)Cl,2432,5759
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,30/1,10,2023-05-16_12-13-08,Silica-CS 4g,1123,2357,CCOC(=O)C1=CC=C(C=C1)Cl,1123,2357
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,30/1,8,2023-05-16_12-23-00,Silica-CS 4g,1245,2585,CCOC(=O)C1=CC=C(C=C1)Cl,1245,2585
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,30/1,6,2023-05-16_12-30-27,Silica-CS 4g,1777,3057,CCOC(=O)C1=CC=C(C=C1)Cl,1777,3057
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,30/1,4,2023-05-16_12-42-16,Silica-CS 4g,2443,4805,CCOC(=O)C1=CC=C(C=C1)Cl,2443,4805
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,20/1,10,2023-05-16_12-55-41,Silica-CS 4g,1109,1776,CCOC(=O)C1=CC=C(C=C1)Cl,1109,1776
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,20/1,8,2023-05-16_13-00-55,Silica-CS 4g,1125,2231,CCOC(=O)C1=CC=C(C=C1)Cl,1125,2231
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,20/1,6,2023-05-16_13-08-33,Silica-CS 4g,1500,2997,CCOC(=O)C1=CC=C(C=C1)Cl,1500,2997
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,10/1,10,2023-05-16_13-23-58,Silica-CS 4g,1069,1858,CCOC(=O)C1=CC=C(C=C1)Cl,1069,1858
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,10/1,8,2023-05-16_13-29-59,Silica-CS 4g,1015,1927,CCOC(=O)C1=CC=C(C=C1)Cl,1015,1927
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,10/1,6,2023-05-16_13-41-30,Silica-CS 4g,1214,2425,CCOC(=O)C1=CC=C(C=C1)Cl,1214,2425
7335-27-5,ETHYL 4-CHLOROBENZOATE,0.98,1.187,50,PE,200,10/1,4,2023-05-16_13-48-57,Silica-CS 4g,1916,3627,CCOC(=O)C1=CC=C(C=C1)Cl,1916,3627
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,40/1,10,2023-05-16_14-56-00,Silica-CS 4g,932,1773,CC(C)COC(=O)C1=CC=CC=C1,932,1773
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,40/1,6,2023-05-16_15-20-15,Silica-CS 4g,1182,2818,CC(C)COC(=O)C1=CC=CC=C1,1182,2818
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,30/1,10,2023-05-16_15-35-00,Silica-CS 4g,800,1752,CC(C)COC(=O)C1=CC=CC=C1,800,1752
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,30/1,8,2023-05-16_15-41-41,Silica-CS 4g,1054,1854,CC(C)COC(=O)C1=CC=CC=C1,1054,1854
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,30/1,4,2023-05-16_15-57-23,Silica-CS 4g,1852,3653,CC(C)COC(=O)C1=CC=CC=C1,1852,3653
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,20/1,10,2023-05-16_16-09-04,Silica-CS 4g,885,1382,CC(C)COC(=O)C1=CC=CC=C1,885,1382
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,20/1,8,2023-05-16_16-14-57,Silica-CS 4g,1044,1659,CC(C)COC(=O)C1=CC=CC=C1,1044,1659
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,20/1,6,2023-05-16_16-21-15,Silica-CS 4g,1296,2151,CC(C)COC(=O)C1=CC=CC=C1,1296,2151
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,20/1,4,2023-05-16_16-29-22,Silica-CS 4g,1841,3112,CC(C)COC(=O)C1=CC=CC=C1,1841,3112
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,10/1,10,2023-05-16_16-34-36,Silica-CS 4g,828,1413,CC(C)COC(=O)C1=CC=CC=C1,828,1413
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,10/1,8,2023-05-16_16-39-56,Silica-CS 4g,943,1401,CC(C)COC(=O)C1=CC=CC=C1,943,1401
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,10/1,6,2023-05-16_16-45-35,Silica-CS 4g,1208,1829,CC(C)COC(=O)C1=CC=CC=C1,1208,1829
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,10/1,4,2023-05-16_16-51-51,Silica-CS 4g,1675,2646,CC(C)COC(=O)C1=CC=CC=C1,1675,2646
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,100/1,10,2023-05-16_19-54-19,Silica-CS 4g,956,3221,CC(C)COC(=O)C1=CC=CC=C1,956,3221
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,100/1,10,2023-05-16_20-22-04,Silica-CS 4g,923,3286,CC(C)COC(=O)C1=CC=CC=C1,923,3286
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,100/1,5,2023-05-16_20-38-22,Silica-CS 4g,1631,6110,CC(C)COC(=O)C1=CC=CC=C1,1631,6110
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,50/1,10,2023-05-16_20-49-03,Silica-CS 4g,843,2792,CC(C)COC(=O)C1=CC=CC=C1,843,2792
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,50/1,5,2023-05-16_20-57-32,Silica-CS 4g,1509,4103,CC(C)COC(=O)C1=CC=CC=C1,1509,4103
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,50/1,10,2023-05-16_21-05-44,Silica-CS 4g,809,2177,CC(C)COC(=O)C1=CC=CC=C1,809,2177
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,30/1,10,2023-05-17_09-52-28,Silica-CS 4g,775,1703,CC(C)COC(=O)C1=CC=CC=C1,775,1703
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,30/1,5,2023-05-17_10-00-37,Silica-CS 4g,1388,3006,CC(C)COC(=O)C1=CC=CC=C1,1388,3006
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,20/1,5,2023-05-17_10-18-37,Silica-CS 4g,1343,2642,CC(C)COC(=O)C1=CC=CC=C1,1343,2642
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,20/1,10,2023-05-17_10-25-05,Silica-CS 4g,708,1416,CC(C)COC(=O)C1=CC=CC=C1,708,1416
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,20/1,5,2023-05-17_10-31-11,Silica-CS 4g,1284,2743,CC(C)COC(=O)C1=CC=CC=C1,1284,2743
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,10/1,10,2023-05-17_10-46-34,Silica-CS 4g,735,1193,CC(C)COC(=O)C1=CC=CC=C1,735,1193
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,10/1,5,2023-05-17_11-06-07,Silica-CS 4g,1320,2141,CC(C)COC(=O)C1=CC=CC=C1,1320,2141
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,10/1,10,2023-05-17_10-54-59,Silica-CS 4g,725,1192,CC(C)COC(=O)C1=CC=CC=C1,725,1192
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,1/1,10,2023-05-17_11-23-17,Silica-CS 4g,633,1112,CC(C)COC(=O)C1=CC=CC=C1,633,1112
120-50-3,Isobutyl benzoate,0.99,0.996,100,PE,200,1/1,5,2023-05-17_11-33-26,Silica-CS 4g,1103,1761,CC(C)COC(=O)C1=CC=CC=C1,1103,1761
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,1/1,10,2023-05-17_15-16-09,Silica-CS 4g,637,942,CC(C)COC(=O)C1=CC=CC=C1,637,942
120-50-3,Isobutyl benzoate,0.99,0.996,150,PE,200,1/1,5,2023-05-17_11-40-52,Silica-CS 4g,1081,1818,CC(C)COC(=O)C1=CC=CC=C1,1081,1818
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,1/1,5,2023-05-17_15-09-32,Silica-CS 4g,1128,1917,CC(C)COC(=O)C1=CC=CC=C1,1128,1917
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,100/1,10,2023-05-17_15-16-09,Silica-CS 4g,637,942,CC(C)COC(=O)C1=CC=CC=C1,637,942
120-50-3,Isobutyl benzoate,0.99,0.996,50,PE,200,100/1,5,2023-05-17_16-21-35,Silica-CS 4g,1888,5540,CC(C)COC(=O)C1=CC=CC=C1,1888,5540
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,100/1,10,2023-05-17_19-06-39,Silica-CS 4g,4716,7025,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4716,7025
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,100/1,5,2023-05-17_19-29-20,Silica-CS 4g,6876,8750,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,6876,8750
120-51-4,Benzyl benzoate,0.98,1.097,100,PE,200,100/1,10,2023-05-18_15-22-32,Silica-CS 4g,4044,7596,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4044,7596
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,100/1,10,2023-05-18_16-24-50,Silica-CS 4g,3926,7399,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,3926,7399
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,50/1,10,2023-05-17_19-45-38,Silica-CS 4g,2550,3891,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2550,3891
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,50/1,5,2023-05-17_20-17-32,Silica-CS 4g,4795,8051,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4795,8051
120-51-4,Benzyl benzoate,0.98,1.097,100,PE,200,50/1,10,2023-05-17_20-29-57,Silica-CS 4g,2364,4485,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2364,4485
120-51-4,Benzyl benzoate,0.98,1.097,100,PE,200,50/1,5,2023-05-17_20-47-01,Silica-CS 4g,4818,8483,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,4818,8483
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,50/1,10,2023-05-18_16-59-42,Silica-CS 4g,2570,4350,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2570,4350
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,30/1,10,2023-05-18_10-11-55,Silica-CS 4g,2000,2906,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2000,2906
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,30/1,5,2023-05-18_10-23-20,Silica-CS 4g,2877,4389,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2877,4389
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,30/1,10,2023-05-18_11-07-09,Silica-CS 4g,1873,3314,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1873,3314
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,30/1,5,2023-05-18_12-28-04,Silica-CS 4g,3854,6479,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,3854,6479
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,20/1,10,2023-05-18_12-38-57,Silica-CS 4g,1640,2676,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1640,2676
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,20/1,10,2023-05-18_13-38-02,Silica-CS 4g,2979,4569,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2979,4569
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,20/1,5,2023-05-18_13-29-08,Silica-CS 4g,2706,5266,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2706,5266
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,10/1,10,2023-05-18_14-31-45,Silica-CS 4g,1130,1910,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1130,1910
120-51-4,Benzyl benzoate,0.98,1.097,50,PE,200,10/1,5,2023-05-18_13-56-17,Silica-CS 4g,2146,3536,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2146,3536
120-51-4,Benzyl benzoate,0.98,1.097,100,PE,200,10/1,10,2023-05-18_14-02-54,Silica-CS 4g,1139,1850,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,1139,1850
120-51-4,Benzyl benzoate,0.98,1.097,100,PE,200,10/1,5,2023-05-18_14-10-53,Silica-CS 4g,2112,3458,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2112,3458
120-51-4,Benzyl benzoate,0.98,1.097,150,PE,200,10/1,5,2023-05-18_14-25-55,Silica-CS 4g,2083,3592,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,2083,3592
